customer_id,event_date,event_type,mrr_delta,reason
CUST-1001,2023-01-19,signup,5000.0,New Mid-Market customer via Inbound Marketing
CUST-1002,2023-01-23,signup,3700.0,New Mid-Market customer via Self-Serve Promo
CUST-1003,2023-01-12,signup,5760.0,New Mid-Market customer via Partner Referral
CUST-1004,2023-01-05,signup,500.0,New SMB customer via Event/Conference
CUST-1005,2023-01-06,signup,80500.0,New Enterprise customer via Event/Conference
CUST-1006,2023-01-10,signup,360.0,New SMB customer via Partner Referral
CUST-1007,2023-01-04,signup,450.0,New SMB customer via Inbound Marketing
CUST-1008,2023-01-18,signup,600.0,New SMB customer via Inbound Marketing
CUST-1009,2023-01-08,signup,8280.0,New Mid-Market customer via Event/Conference
CUST-1010,2023-01-22,signup,480.0,New SMB customer via Outbound Sales
CUST-1011,2023-01-04,signup,2040.0,New Mid-Market customer via Inbound Marketing
CUST-1012,2023-01-16,signup,1320.0,New SMB customer via Inbound Marketing
CUST-1013,2023-01-12,signup,350.0,New SMB customer via Inbound Marketing
CUST-1014,2023-01-24,signup,1950.0,New Mid-Market customer via Outbound Sales
CUST-1015,2023-01-18,signup,1800.0,New SMB customer via Inbound Marketing
CUST-1016,2023-01-21,signup,650.0,New SMB customer via Outbound Sales
CUST-1017,2023-01-19,signup,450.0,New SMB customer via Inbound Marketing
CUST-1018,2023-01-26,signup,350.0,New SMB customer via Partner Referral
CUST-1019,2023-02-08,signup,56000.0,New Enterprise customer via Event/Conference
CUST-1020,2023-02-03,signup,7440.0,New Mid-Market customer via Inbound Marketing
CUST-1021,2023-02-16,signup,650.0,New SMB customer via Outbound Sales
CUST-1022,2023-02-09,signup,8040.0,New Mid-Market customer via Self-Serve Promo
CUST-1023,2023-02-02,signup,650.0,New SMB customer via Outbound Sales
CUST-1024,2023-02-22,signup,350.0,New SMB customer via Outbound Sales
CUST-1025,2023-02-01,signup,300.0,New SMB customer via Inbound Marketing
CUST-1026,2023-02-19,signup,5280.0,New Mid-Market customer via Outbound Sales
CUST-1027,2023-02-09,signup,750.0,New SMB customer via Inbound Marketing
