opportunity_id,customer_id,account_name,segment,acquisition_channel,owner_rep_id,opportunity_type,created_date,close_date,amount,current_stage,status
OPP-00001,CUST-1001,Helix Works,Mid-Market,Inbound Marketing,REP-08,new_business,2022-09-26,2023-01-19,60000.0,Closed Won,closed_won
OPP-00002,CUST-1003,Cobalt Logic,Mid-Market,Partner Referral,REP-11,new_business,2022-10-22,2023-01-12,69120.0,Closed Won,closed_won
OPP-00003,CUST-1004,Halcyon Industries,SMB,Event/Conference,REP-12,new_business,2022-12-05,2023-01-05,6000.0,Closed Won,closed_won
OPP-00004,CUST-1005,Beacon Holdings,Enterprise,Event/Conference,REP-02,new_business,2022-11-05,2023-01-06,966000.0,Closed Won,closed_won
OPP-00005,CUST-1006,Reverb Dynamics,SMB,Partner Referral,REP-02,new_business,2022-11-18,2023-01-10,4320.0,Closed Won,closed_won
OPP-00006,CUST-1007,Tessera Holdings,SMB,Inbound Marketing,REP-08,new_business,2022-11-08,2023-01-04,5400.0,Closed Won,closed_won
OPP-00007,CUST-1008,Tessera Works,SMB,Inbound Marketing,REP-04,new_business,2022-12-27,2023-01-18,7200.0,Closed Won,closed_won
OPP-00008,CUST-1009,Vector Industries,Mid-Market,Event/Conference,REP-03,new_business,2022-10-01,2023-01-08,99360.0,Closed Won,closed_won
OPP-00009,CUST-1010,Marlin Holdings,SMB,Outbound Sales,REP-08,new_business,2022-12-10,2023-01-22,5760.0,Closed Won,closed_won
OPP-00010,CUST-1011,Vector Works,Mid-Market,Inbound Marketing,REP-05,new_business,2022-10-29,2023-01-04,24480.0,Closed Won,closed_won
OPP-00011,CUST-1012,Marlin Partners,SMB,Inbound Marketing,REP-10,new_business,2022-10-17,2023-01-16,15840.0,Closed Won,closed_won
OPP-00012,CUST-1013,Reverb Logic,SMB,Inbound Marketing,REP-02,new_business,2022-11-24,2023-01-12,4200.0,Closed Won,closed_won
OPP-00013,CUST-1014,Lattice Cloud,Mid-Market,Outbound Sales,REP-10,new_business,2022-09-05,2023-01-24,23400.0,Closed Won,closed_won
OPP-00014,CUST-1015,Stratus Dynamics,SMB,Inbound Marketing,REP-12,new_business,2022-11-25,2023-01-18,21600.0,Closed Won,closed_won
OPP-00015,CUST-1016,Halcyon Industries,SMB,Outbound Sales,REP-02,new_business,2022-11-23,2023-01-21,7800.0,Closed Won,closed_won
OPP-00016,CUST-1017,Cobalt Holdings,SMB,Inbound Marketing,REP-02,new_business,2022-11-17,2023-01-19,5400.0,Closed Won,closed_won
OPP-00017,CUST-1018,Apex Group,SMB,Partner Referral,REP-01,new_business,2022-12-29,2023-01-26,4200.0,Closed Won,closed_won
OPP-00018,CUST-1019,Halcyon Digital,Enterprise,Event/Conference,REP-05,new_business,2022-11-21,2023-02-08,672000.0,Closed Won,closed_won
OPP-00019,CUST-1020,Apex Holdings,Mid-Market,Inbound Marketing,REP-10,new_business,2022-11-18,2023-02-03,89280.0,Closed Won,closed_won
OPP-00020,CUST-1021,Citron Systems,SMB,Outbound Sales,REP-02,new_business,2022-11-11,2023-02-16,7800.0,Closed Won,closed_won
OPP-00021,CUST-1023,Helix Holdings,SMB,Outbound Sales,REP-02,new_business,2022-12-10,2023-02-02,7800.0,Closed Won,closed_won
OPP-00022,CUST-1024,Helix Group,SMB,Outbound Sales,REP-05,new_business,2023-01-23,2023-02-22,4200.0,Closed Won,closed_won
OPP-00023,CUST-1025,Quantum Digital,SMB,Inbound Marketing,REP-08,new_business,2022-11-30,2023-02-01,3600.0,Closed Won,closed_won
OPP-00024,CUST-1026,Cobalt Holdings,Mid-Market,Outbound Sales,REP-02,new_business,2022-11-16,2023-02-19,63360.0,Closed Won,closed_won
OPP-00025,CUST-1027,Citron Partners,SMB,Inbound Marketing,REP-08,new_business,2022-12-08,2023-02-09,9000.0,Closed Won,closed_won
OPP-00026,CUST-1028,Quantum Group,SMB,Event/Conference,REP-04,new_business,2023-01-18,2023-02-15,11520.0,Closed Won,closed_won
OPP-00027,CUST-1029,Halcyon Solutions,SMB,Partner Referral,REP-04,new_business,2022-12-20,2023-02-18,3600.0,Closed Won,closed_won
OPP-00028,CUST-1030,North Works,SMB,Event/Conference,REP-01,new_business,2022-11-28,2023-02-07,7200.0,Closed Won,closed_won
OPP-00029,CUST-1031,Helix Digital,SMB,Event/Conference,REP-05,new_business,2023-01-04,2023-02-09,21600.0,Closed Won,closed_won
OPP-00030,CUST-1032,Quantum Partners,SMB,Outbound Sales,REP-01,new_business,2022-12-18,2023-02-05,8640.0,Closed Won,closed_won
OPP-00031,CUST-1033,Glide Cloud,SMB,Event/Conference,REP-12,new_business,2022-12-18,2023-02-21,5760.0,Closed Won,closed_won
OPP-00032,CUST-1034,Marlin Dynamics,SMB,Inbound Marketing,REP-02,new_business,2023-01-11,2023-02-10,20160.0,Closed Won,closed_won
OPP-00033,CUST-1036,Plinth Solutions,Mid-Market,Outbound Sales,REP-08,new_business,2022-11-20,2023-02-10,13200.0,Closed Won,closed_won
OPP-00034,CUST-1037,Cobalt Partners,SMB,Inbound Marketing,REP-01,new_business,2023-02-06,2023-03-27,10080.0,Closed Won,closed_won
OPP-00035,CUST-1038,Tessera Digital,SMB,Outbound Sales,REP-07,new_business,2023-01-10,2023-03-01,2400.0,Closed Won,closed_won
OPP-00036,CUST-1039,Glide Network,SMB,Partner Referral,REP-10,new_business,2022-12-16,2023-03-06,4800.0,Closed Won,closed_won
OPP-00037,CUST-1040,Anvil Works,Mid-Market,Outbound Sales,REP-02,new_business,2023-01-21,2023-03-16,34800.0,Closed Won,closed_won
OPP-00038,CUST-1041,Citron Group,SMB,Inbound Marketing,REP-05,new_business,2023-02-08,2023-03-26,4200.0,Closed Won,closed_won
OPP-00039,CUST-1042,Apex Solutions,SMB,Inbound Marketing,REP-12,new_business,2023-01-25,2023-03-23,9000.0,Closed Won,closed_won
OPP-00040,CUST-1043,Halcyon Network,SMB,Event/Conference,REP-07,new_business,2023-02-25,2023-03-26,3000.0,Closed Won,closed_won
OPP-00041,CUST-1044,Mosaic Logic,Mid-Market,Outbound Sales,REP-06,new_business,2023-01-04,2023-03-08,25800.0,Closed Won,closed_won
OPP-00042,CUST-1045,Halcyon Co,SMB,Inbound Marketing,REP-10,new_business,2023-02-25,2023-03-24,9000.0,Closed Won,closed_won
OPP-00043,CUST-1046,Glide Logic,SMB,Inbound Marketing,REP-11,new_business,2023-02-15,2023-03-26,4800.0,Closed Won,closed_won
OPP-00044,CUST-1047,Reverb Works,SMB,Outbound Sales,REP-04,new_business,2023-01-17,2023-03-23,18720.0,Closed Won,closed_won
OPP-00045,CUST-1048,Lattice Cloud,SMB,Outbound Sales,REP-12,new_business,2023-02-06,2023-03-09,4320.0,Closed Won,closed_won
OPP-00046,CUST-1049,Cobalt Works,Mid-Market,Outbound Sales,REP-03,new_business,2022-10-24,2023-03-05,72000.0,Closed Won,closed_won
OPP-00047,CUST-1050,Plinth Partners,SMB,Outbound Sales,REP-01,new_business,2022-12-29,2023-03-12,1800.0,Closed Won,closed_won
OPP-00048,CUST-1051,Mosaic Network,SMB,Inbound Marketing,REP-09,new_business,2023-02-21,2023-03-24,7200.0,Closed Won,closed_won
OPP-00049,CUST-1052,Plinth Digital,SMB,Outbound Sales,REP-05,new_business,2023-02-07,2023-03-18,1800.0,Closed Won,closed_won
OPP-00050,CUST-1053,Apex Network,SMB,Inbound Marketing,REP-06,new_business,2023-01-13,2023-03-03,8400.0,Closed Won,closed_won
OPP-00051,CUST-1054,Anvil Logic,Mid-Market,Outbound Sales,REP-07,new_business,2022-12-26,2023-03-22,25920.0,Closed Won,closed_won
OPP-00052,CUST-1056,Beacon Industries,SMB,Event/Conference,REP-01,new_business,2023-02-19,2023-03-22,5400.0,Closed Won,closed_won
OPP-00053,CUST-1057,Plinth Logic,SMB,Outbound Sales,REP-03,new_business,2023-03-14,2023-04-12,3000.0,Closed Won,closed_won
OPP-00054,CUST-1058,Tessera Logic,SMB,Inbound Marketing,REP-02,new_business,2023-03-16,2023-04-05,4200.0,Closed Won,closed_won
OPP-00055,CUST-1059,Cobalt Partners,Mid-Market,Event/Conference,REP-02,new_business,2023-01-24,2023-04-09,87840.0,Closed Won,closed_won
OPP-00056,CUST-1060,Marlin Works,SMB,Event/Conference,REP-02,new_business,2023-03-16,2023-04-21,8400.0,Closed Won,closed_won
OPP-00057,CUST-1061,Anvil Works,Mid-Market,Outbound Sales,REP-02,new_business,2023-02-19,2023-04-24,64800.0,Closed Won,closed_won
OPP-00058,CUST-1063,Reverb Network,Enterprise,Event/Conference,REP-06,new_business,2023-01-29,2023-04-22,660000.0,Closed Won,closed_won
OPP-00059,CUST-1064,Marlin Systems,SMB,Inbound Marketing,REP-03,new_business,2023-03-05,2023-04-15,9000.0,Closed Won,closed_won
OPP-00060,CUST-1065,Halcyon Solutions,SMB,Inbound Marketing,REP-04,new_business,2023-03-09,2023-04-15,6600.0,Closed Won,closed_won
OPP-00061,CUST-1066,Quantum Network,SMB,Inbound Marketing,REP-04,new_business,2023-02-28,2023-04-23,18720.0,Closed Won,closed_won
OPP-00062,CUST-1067,Helix Industries,SMB,Partner Referral,REP-11,new_business,2023-02-07,2023-04-21,8400.0,Closed Won,closed_won
OPP-00063,CUST-1069,Halcyon Dynamics,SMB,Outbound Sales,REP-01,new_business,2023-03-12,2023-04-12,14400.0,Closed Won,closed_won
OPP-00064,CUST-1070,Cobalt Works,SMB,Event/Conference,REP-08,new_business,2023-02-13,2023-04-17,17280.0,Closed Won,closed_won
OPP-00065,CUST-1072,North Works,SMB,Inbound Marketing,REP-02,new_business,2023-02-14,2023-04-15,6600.0,Closed Won,closed_won
OPP-00066,CUST-1073,North Group,Mid-Market,Outbound Sales,REP-08,new_business,2022-12-23,2023-04-12,48960.0,Closed Won,closed_won
OPP-00067,CUST-1074,Glide Industries,Mid-Market,Outbound Sales,REP-10,new_business,2023-01-04,2023-04-02,213000.0,Closed Won,closed_won
