snapshot_date,opportunity_id,stage_at_snapshot,amount,forecast_category,expected_close_date
2024-01-01,OPP-00225,Negotiation,3000.0,Commit,2024-01-04
2024-01-01,OPP-00226,Proof of Concept,36000.0,Best Case,2024-01-17
2024-01-01,OPP-00227,Negotiation,10080.0,Commit,2024-01-06
2024-01-01,OPP-00228,Proof of Concept,9000.0,Best Case,2024-01-15
2024-01-01,OPP-00229,Qualification,6600.0,Pipeline,2024-01-22
2024-01-01,OPP-00230,Negotiation,4800.0,Commit,2024-01-04
2024-01-01,OPP-00231,Qualification,4200.0,Pipeline,2024-01-07
2024-01-01,OPP-00232,Qualification,20160.0,Pipeline,2024-01-18
2024-01-01,OPP-00233,Negotiation,24000.0,Commit,2024-01-13
2024-01-01,OPP-00234,Negotiation,114000.0,Commit,2024-01-02
2024-01-01,OPP-00235,Qualification,18720.0,Pipeline,2024-01-26
2024-01-01,OPP-00236,Proof of Concept,90720.0,Best Case,2024-01-13
2024-01-01,OPP-00237,Proof of Concept,9000.0,Best Case,2024-01-06
2024-01-01,OPP-00238,Qualification,4200.0,Pipeline,2024-01-16
2024-01-01,OPP-00239,Proof of Concept,20400.0,Best Case,2024-02-05
2024-01-01,OPP-00241,Proof of Concept,2400.0,Best Case,2024-02-06
2024-01-01,OPP-00243,Proof of Concept,30240.0,Best Case,2024-02-03
2024-01-01,OPP-00244,Negotiation,59040.0,Commit,2024-02-04
2024-01-01,OPP-00248,Proof of Concept,5400.0,Best Case,2024-02-07
2024-01-01,OPP-00249,Qualification,5400.0,Pipeline,2024-02-25
2024-01-01,OPP-00250,Qualification,25920.0,Pipeline,2024-02-25
2024-01-01,OPP-00251,Qualification,59040.0,Pipeline,2024-02-18
2024-01-01,OPP-00252,Qualification,21600.0,Pipeline,2024-02-10
2024-01-01,OPP-00253,Proof of Concept,10080.0,Best Case,2024-02-04
2024-01-01,OPP-00254,Discovery,76320.0,Pipeline,2024-02-16
2024-01-01,OPP-00256,Proof of Concept,87840.0,Best Case,2024-02-22
2024-01-01,OPP-00258,Proof of Concept,37440.0,Best Case,2024-03-05
2024-01-01,OPP-00261,Proof of Concept,51840.0,Best Case,2024-03-13
2024-01-01,OPP-00263,Proof of Concept,38880.0,Best Case,2024-03-22
2024-01-01,OPP-00264,Qualification,108000.0,Pipeline,2024-03-04
2024-01-01,OPP-00270,Qualification,89280.0,Pipeline,2024-03-23
2024-01-01,OPP-00274,Discovery,900000.0,Pipeline,2024-03-07
2024-01-01,OPP-00279,Proof of Concept,34560.0,Best Case,2024-04-26
2024-01-01,OPP-00317,Discovery,37800.0,Pipeline,2024-06-17
2024-01-01,OPP-00827,Qualification,11147.0,Pipeline,2024-01-22
2024-01-01,OPP-00857,Qualification,134453.0,Pipeline,2024-01-28
2024-01-01,OPP-00920,Qualification,190012.0,Pipeline,2024-03-03
2024-01-01,OPP-00926,Discovery,31064.0,Pipeline,2024-02-03
2024-01-01,OPP-00928,Discovery,145651.0,Pipeline,2024-01-23
2024-01-01,OPP-00936,Proof of Concept,197118.0,Best Case,2024-01-15
2024-01-01,OPP-00959,Proof of Concept,183398.0,Best Case,2024-01-07
2024-01-01,OPP-00973,Discovery,61489.0,Pipeline,2024-02-01
2024-01-01,OPP-01006,Proof of Concept,127749.0,Best Case,2024-02-10
2024-01-01,OPP-01036,Qualification,106728.0,Pipeline,2024-01-17
2024-01-01,OPP-01046,Qualification,42069.0,Pipeline,2024-01-10
2024-01-01,OPP-01056,Discovery,64963.0,Pipeline,2024-01-21
2024-01-01,OPP-01160,Qualification,53862.0,Pipeline,2024-04-23
2024-01-01,OPP-01257,Proof of Concept,201691.0,Best Case,2024-01-13
2024-01-01,OPP-01352,Qualification,68664.0,Pipeline,2024-01-15
2024-01-01,OPP-01371,Discovery,100114.0,Pipeline,2024-02-13
2024-01-01,OPP-01460,Qualification,80136.0,Pipeline,2024-03-16
2024-01-01,OPP-01498,Discovery,66786.0,Pipeline,2024-02-11
2024-01-01,OPP-01499,Discovery,146840.0,Pipeline,2024-01-20
2024-01-01,OPP-01525,Proof of Concept,77942.0,Best Case,2024-01-08
2024-01-01,OPP-01542,Discovery,231442.0,Pipeline,2024-02-05
2024-01-01,OPP-01595,Proof of Concept,244093.0,Best Case,2024-01-27
2024-01-01,OPP-01617,Proof of Concept,96729.0,Best Case,2024-01-09
2024-01-01,OPP-01660,Discovery,44459.0,Pipeline,2024-01-03
2024-01-01,OPP-01703,Proof of Concept,175052.0,Best Case,2024-01-03
2024-01-01,OPP-01719,Qualification,7218.0,Pipeline,2024-01-16
2024-01-01,OPP-01722,Proof of Concept,64163.0,Best Case,2024-01-16
2024-01-01,OPP-01768,Discovery,109730.0,Pipeline,2024-01-14
2024-01-01,OPP-01776,Qualification,175728.0,Pipeline,2024-01-28
2024-01-01,OPP-01882,Qualification,151267.0,Pipeline,2024-01-02
2024-01-01,OPP-01935,Discovery,126477.0,Pipeline,2024-01-19
2024-01-01,OPP-01941,Discovery,205241.0,Pipeline,2024-01-26
2024-01-01,OPP-01976,Discovery,190291.0,Pipeline,2024-01-07
2024-01-01,OPP-01979,Discovery,178587.0,Pipeline,2024-01-07
2024-01-01,OPP-02012,Discovery,203677.0,Pipeline,2024-01-03
2024-01-01,OPP-02013,Qualification,172381.0,Pipeline,2024-01-02
2024-01-01,OPP-02017,Proof of Concept,96150.0,Best Case,2024-01-30
2024-01-01,OPP-02042,Qualification,137032.0,Pipeline,2024-01-28
2024-01-01,OPP-02087,Discovery,181686.0,Pipeline,2024-01-15
2024-01-01,OPP-02097,Proof of Concept,217599.0,Best Case,2024-01-17
2024-01-01,OPP-02150,Negotiation,169253.0,Commit,2024-01-02
2024-01-01,OPP-02270,Proof of Concept,205790.0,Best Case,2024-01-04
2024-01-01,OPP-02294,Qualification,46868.0,Pipeline,2024-01-18
2024-01-01,OPP-02316,Negotiation,51000.0,Commit,2024-01-19
2024-01-01,OPP-02318,Negotiation,44400.0,Commit,2024-01-23
2024-01-01,OPP-02319,Negotiation,69120.0,Commit,2024-01-12
2024-01-01,OPP-02321,Negotiation,6600.0,Commit,2024-01-05
2024-01-01,OPP-02323,Negotiation,1164000.0,Commit,2024-01-06
2024-01-01,OPP-02325,Negotiation,5400.0,Commit,2024-01-04
2024-01-01,OPP-02327,Negotiation,99360.0,Commit,2024-01-08
2024-01-01,OPP-02329,Negotiation,7200.0,Commit,2024-01-22
2024-01-01,OPP-02331,Negotiation,24480.0,Commit,2024-01-04
2024-01-01,OPP-02332,Negotiation,15840.0,Commit,2024-01-16
2024-01-01,OPP-02333,Negotiation,4800.0,Commit,2024-01-12
2024-01-01,OPP-02335,Negotiation,29400.0,Commit,2024-01-24
2024-01-01,OPP-02337,Negotiation,23040.0,Commit,2024-01-18
2024-01-01,OPP-02339,Negotiation,7800.0,Commit,2024-01-21
2024-01-01,OPP-02341,Negotiation,6000.0,Commit,2024-01-19
2024-01-01,OPP-02343,Negotiation,4200.0,Commit,2024-01-26
2024-01-01,OPP-02345,Negotiation,987000.0,Commit,2024-02-08
2024-01-01,OPP-02347,Renewal Discussion,89280.0,Best Case,2024-02-03
2024-01-01,OPP-02348,Negotiation,9000.0,Commit,2024-02-16
2024-01-01,OPP-02350,Negotiation,96480.0,Commit,2024-02-09
2024-01-01,OPP-02352,Renewal Discussion,7800.0,Best Case,2024-01-15
2024-01-01,OPP-02353,Renewal Discussion,5400.0,Best Case,2024-02-22
2024-01-01,OPP-02355,Negotiation,3600.0,Commit,2024-02-01
2024-01-01,OPP-02356,Negotiation,63360.0,Commit,2024-02-19
2024-01-01,OPP-02358,Renewal Discussion,9000.0,Best Case,2024-02-09
2024-01-01,OPP-02360,Renewal Discussion,11520.0,Best Case,2024-02-15
2024-01-01,OPP-02362,Renewal Discussion,3000.0,Best Case,2024-02-18
2024-01-01,OPP-02364,Negotiation,7200.0,Commit,2024-02-07
2024-01-01,OPP-02366,Negotiation,8640.0,Commit,2024-02-05
2024-01-01,OPP-02368,Renewal Discussion,5760.0,Best Case,2024-02-21
2024-01-01,OPP-02370,Renewal Discussion,13200.0,Best Case,2024-02-10
2024-01-01,OPP-02995,Expansion Discussion,1200.0,Best Case,2024-01-15
2024-01-01,OPP-02996,Expansion Discussion,19800.0,Best Case,2024-01-15
2024-01-01,OPP-02998,Expansion Discussion,600.0,Best Case,2024-02-15
2024-01-01,OPP-03000,Expansion Discussion,1800.0,Best Case,2024-02-15
2024-01-01,OPP-03002,Expansion Discussion,7200.0,Best Case,2024-02-15
2024-04-01,OPP-00275,Negotiation,7200.0,Commit,2024-04-06
2024-04-01,OPP-00276,Negotiation,3600.0,Commit,2024-04-04
2024-04-01,OPP-00277,Negotiation,4800.0,Commit,2024-04-07
2024-04-01,OPP-00278,Proof of Concept,20160.0,Best Case,2024-04-15
2024-04-01,OPP-00279,Negotiation,34560.0,Commit,2024-04-26
2024-04-01,OPP-00280,Negotiation,59040.0,Commit,2024-04-02
2024-04-01,OPP-00281,Proof of Concept,4200.0,Best Case,2024-04-14
2024-04-01,OPP-00282,Proof of Concept,4200.0,Best Case,2024-04-22
2024-04-01,OPP-00283,Proof of Concept,84960.0,Best Case,2024-04-10
