customer_id,month,mrr,seats,plan_tier,status
CUST-1001,2023-01-01,5000.0,20,Scale,active
CUST-1002,2023-01-01,3700.0,74,Starter,active
CUST-1003,2023-01-01,5760.0,48,Growth,active
CUST-1004,2023-01-01,500.0,10,Starter,active
CUST-1005,2023-01-01,80500.0,322,Scale,active
CUST-1006,2023-01-01,360.0,3,Growth,active
CUST-1007,2023-01-01,450.0,9,Starter,active
CUST-1008,2023-01-01,600.0,5,Growth,active
CUST-1009,2023-01-01,8280.0,69,Growth,active
CUST-1010,2023-01-01,480.0,4,Growth,active
CUST-1011,2023-01-01,2040.0,17,Growth,active
CUST-1012,2023-01-01,1320.0,11,Growth,active
CUST-1013,2023-01-01,350.0,7,Starter,active
CUST-1014,2023-01-01,1950.0,39,Starter,active
CUST-1015,2023-01-01,1800.0,15,Growth,active
CUST-1016,2023-01-01,650.0,13,Starter,active
CUST-1017,2023-01-01,450.0,9,Starter,active
CUST-1018,2023-01-01,350.0,7,Starter,active
CUST-1001,2023-02-01,5250.0,21,Scale,active
CUST-1002,2023-02-01,3700.0,74,Starter,active
CUST-1003,2023-02-01,5760.0,48,Growth,active
CUST-1004,2023-02-01,500.0,10,Starter,active
CUST-1005,2023-02-01,80500.0,322,Scale,active
CUST-1007,2023-02-01,450.0,9,Starter,active
CUST-1008,2023-02-01,600.0,5,Growth,active
CUST-1009,2023-02-01,8280.0,69,Growth,active
CUST-1010,2023-02-01,480.0,4,Growth,active
CUST-1011,2023-02-01,2040.0,17,Growth,active
CUST-1012,2023-02-01,1320.0,11,Growth,active
CUST-1013,2023-02-01,350.0,7,Starter,active
CUST-1014,2023-02-01,1950.0,39,Starter,active
CUST-1015,2023-02-01,1800.0,15,Growth,active
CUST-1016,2023-02-01,650.0,13,Starter,active
CUST-1017,2023-02-01,450.0,9,Starter,active
CUST-1018,2023-02-01,350.0,7,Starter,active
CUST-1019,2023-02-01,56000.0,224,Scale,active
CUST-1020,2023-02-01,7440.0,62,Growth,active
CUST-1021,2023-02-01,650.0,13,Starter,active
CUST-1022,2023-02-01,8040.0,67,Growth,active
CUST-1023,2023-02-01,650.0,13,Starter,active
CUST-1024,2023-02-01,350.0,7,Starter,active
CUST-1025,2023-02-01,300.0,6,Starter,active
CUST-1026,2023-02-01,5280.0,44,Growth,active
CUST-1027,2023-02-01,750.0,15,Starter,active
CUST-1028,2023-02-01,960.0,8,Growth,active
CUST-1029,2023-02-01,300.0,6,Starter,active
CUST-1030,2023-02-01,600.0,12,Starter,active
CUST-1031,2023-02-01,1800.0,15,Growth,active
CUST-1032,2023-02-01,720.0,6,Growth,active
CUST-1033,2023-02-01,480.0,4,Growth,active
CUST-1034,2023-02-01,1680.0,14,Growth,active
CUST-1035,2023-02-01,150.0,3,Starter,active
CUST-1036,2023-02-01,1100.0,22,Starter,active
CUST-1001,2023-03-01,4250.0,17,Scale,active
CUST-1002,2023-03-01,3700.0,74,Starter,active
CUST-1003,2023-03-01,5760.0,48,Growth,active
CUST-1004,2023-03-01,550.0,11,Starter,active
CUST-1005,2023-03-01,80500.0,322,Scale,active
CUST-1007,2023-03-01,450.0,9,Starter,active
CUST-1008,2023-03-01,600.0,5,Growth,active
CUST-1009,2023-03-01,8280.0,69,Growth,active
CUST-1010,2023-03-01,480.0,4,Growth,active
CUST-1011,2023-03-01,2040.0,17,Growth,active
CUST-1012,2023-03-01,1320.0,11,Growth,active
CUST-1013,2023-03-01,350.0,7,Starter,active
CUST-1014,2023-03-01,1950.0,39,Starter,active
CUST-1015,2023-03-01,1800.0,15,Growth,active
CUST-1016,2023-03-01,650.0,13,Starter,active
CUST-1017,2023-03-01,450.0,9,Starter,active
CUST-1018,2023-03-01,350.0,7,Starter,active
CUST-1019,2023-03-01,56000.0,224,Scale,active
CUST-1020,2023-03-01,7440.0,62,Growth,active
CUST-1021,2023-03-01,650.0,13,Starter,active
CUST-1022,2023-03-01,8040.0,67,Growth,active
CUST-1023,2023-03-01,650.0,13,Starter,active
CUST-1024,2023-03-01,350.0,7,Starter,active
CUST-1025,2023-03-01,300.0,6,Starter,active
CUST-1026,2023-03-01,5280.0,44,Growth,active
CUST-1027,2023-03-01,750.0,15,Starter,active
CUST-1028,2023-03-01,960.0,8,Growth,active
CUST-1029,2023-03-01,250.0,5,Starter,active
CUST-1030,2023-03-01,600.0,12,Starter,active
CUST-1031,2023-03-01,1800.0,15,Growth,active
CUST-1032,2023-03-01,720.0,6,Growth,active
CUST-1033,2023-03-01,480.0,4,Growth,active
CUST-1034,2023-03-01,1680.0,14,Growth,active
CUST-1035,2023-03-01,150.0,3,Starter,active
CUST-1036,2023-03-01,1100.0,22,Starter,active
CUST-1037,2023-03-01,840.0,7,Growth,active
CUST-1038,2023-03-01,200.0,4,Starter,active
CUST-1039,2023-03-01,400.0,8,Starter,active
CUST-1040,2023-03-01,2900.0,58,Starter,active
CUST-1041,2023-03-01,350.0,7,Starter,active
CUST-1042,2023-03-01,750.0,15,Starter,active
CUST-1043,2023-03-01,250.0,5,Starter,active
CUST-1044,2023-03-01,2150.0,43,Starter,active
CUST-1045,2023-03-01,750.0,15,Starter,active
CUST-1046,2023-03-01,400.0,8,Starter,active
CUST-1047,2023-03-01,1560.0,13,Growth,active
CUST-1048,2023-03-01,360.0,3,Growth,active
CUST-1049,2023-03-01,6000.0,50,Growth,active
CUST-1050,2023-03-01,150.0,3,Starter,active
CUST-1051,2023-03-01,600.0,12,Starter,active
CUST-1052,2023-03-01,150.0,3,Starter,active
CUST-1053,2023-03-01,700.0,14,Starter,active
CUST-1054,2023-03-01,2160.0,18,Growth,active
CUST-1055,2023-03-01,6240.0,52,Growth,active
CUST-1056,2023-03-01,450.0,9,Starter,active
CUST-1001,2023-04-01,4250.0,17,Scale,active
CUST-1002,2023-04-01,3700.0,74,Starter,active
CUST-1003,2023-04-01,5760.0,48,Growth,active
CUST-1004,2023-04-01,550.0,11,Starter,active
CUST-1005,2023-04-01,80500.0,322,Scale,active
CUST-1007,2023-04-01,450.0,9,Starter,active
CUST-1008,2023-04-01,600.0,5,Growth,active
CUST-1009,2023-04-01,8280.0,69,Growth,active
CUST-1010,2023-04-01,600.0,5,Growth,active
CUST-1011,2023-04-01,2040.0,17,Growth,active
CUST-1012,2023-04-01,1320.0,11,Growth,active
CUST-1013,2023-04-01,350.0,7,Starter,active
CUST-1014,2023-04-01,1950.0,39,Starter,active
CUST-1015,2023-04-01,1800.0,15,Growth,active
CUST-1016,2023-04-01,550.0,11,Starter,active
CUST-1017,2023-04-01,450.0,9,Starter,active
CUST-1018,2023-04-01,350.0,7,Starter,active
CUST-1019,2023-04-01,56000.0,224,Scale,active
CUST-1020,2023-04-01,7440.0,62,Growth,active
CUST-1021,2023-04-01,650.0,13,Starter,active
CUST-1022,2023-04-01,8040.0,67,Growth,active
CUST-1023,2023-04-01,650.0,13,Starter,active
CUST-1024,2023-04-01,350.0,7,Starter,active
CUST-1025,2023-04-01,300.0,6,Starter,active
CUST-1026,2023-04-01,5280.0,44,Growth,active
CUST-1027,2023-04-01,750.0,15,Starter,active
CUST-1028,2023-04-01,960.0,8,Growth,active
CUST-1029,2023-04-01,250.0,5,Starter,active
CUST-1030,2023-04-01,600.0,12,Starter,active
CUST-1031,2023-04-01,1800.0,15,Growth,active
CUST-1032,2023-04-01,720.0,6,Growth,active
CUST-1033,2023-04-01,480.0,4,Growth,active
CUST-1034,2023-04-01,1680.0,14,Growth,active
CUST-1035,2023-04-01,150.0,3,Starter,active
CUST-1036,2023-04-01,1100.0,22,Starter,active
CUST-1037,2023-04-01,840.0,7,Growth,active
CUST-1038,2023-04-01,200.0,4,Starter,active
CUST-1039,2023-04-01,400.0,8,Starter,active
CUST-1040,2023-04-01,2900.0,58,Starter,active
CUST-1041,2023-04-01,350.0,7,Starter,active
CUST-1042,2023-04-01,750.0,15,Starter,active
CUST-1043,2023-04-01,250.0,5,Starter,active
CUST-1044,2023-04-01,2150.0,43,Starter,active
CUST-1045,2023-04-01,750.0,15,Starter,active
CUST-1046,2023-04-01,400.0,8,Starter,active
CUST-1047,2023-04-01,1560.0,13,Growth,active
CUST-1048,2023-04-01,360.0,3,Growth,active
CUST-1049,2023-04-01,6000.0,50,Growth,active
CUST-1050,2023-04-01,150.0,3,Starter,active
CUST-1051,2023-04-01,600.0,12,Starter,active
CUST-1052,2023-04-01,200.0,4,Starter,active
CUST-1053,2023-04-01,700.0,14,Starter,active
CUST-1054,2023-04-01,2160.0,18,Growth,active
CUST-1055,2023-04-01,6240.0,52,Growth,active
CUST-1056,2023-04-01,450.0,9,Starter,active
CUST-1057,2023-04-01,250.0,5,Starter,active
CUST-1058,2023-04-01,350.0,7,Starter,active
CUST-1059,2023-04-01,7320.0,61,Growth,active
CUST-1060,2023-04-01,700.0,14,Starter,active
CUST-1061,2023-04-01,5400.0,45,Growth,active
CUST-1062,2023-04-01,500.0,10,Starter,active
CUST-1063,2023-04-01,55000.0,220,Scale,active
CUST-1064,2023-04-01,750.0,15,Starter,active
CUST-1065,2023-04-01,550.0,11,Starter,active
CUST-1066,2023-04-01,1560.0,13,Growth,active
CUST-1067,2023-04-01,700.0,14,Starter,active
CUST-1068,2023-04-01,4200.0,35,Growth,active
CUST-1069,2023-04-01,1200.0,10,Growth,active
CUST-1070,2023-04-01,1440.0,12,Growth,active
CUST-1071,2023-04-01,53250.0,213,Scale,active
CUST-1072,2023-04-01,550.0,11,Starter,active
CUST-1073,2023-04-01,4080.0,34,Growth,active
CUST-1074,2023-04-01,17750.0,71,Scale,active
CUST-1075,2023-04-01,4000.0,16,Scale,active
CUST-1076,2023-04-01,2400.0,20,Growth,active
CUST-1001,2023-05-01,4250.0,17,Scale,active
CUST-1002,2023-05-01,3700.0,74,Starter,active
CUST-1003,2023-05-01,5760.0,48,Growth,active
CUST-1004,2023-05-01,550.0,11,Starter,active
CUST-1005,2023-05-01,80500.0,322,Scale,active
CUST-1007,2023-05-01,450.0,9,Starter,active
CUST-1009,2023-05-01,8280.0,69,Growth,active
CUST-1010,2023-05-01,600.0,5,Growth,active
CUST-1011,2023-05-01,2040.0,17,Growth,active
CUST-1012,2023-05-01,1320.0,11,Growth,active
CUST-1013,2023-05-01,350.0,7,Starter,active
CUST-1014,2023-05-01,1950.0,39,Starter,active
CUST-1015,2023-05-01,1800.0,15,Growth,active
CUST-1016,2023-05-01,550.0,11,Starter,active
CUST-1017,2023-05-01,450.0,9,Starter,active
CUST-1018,2023-05-01,350.0,7,Starter,active
CUST-1019,2023-05-01,67000.0,268,Scale,active
CUST-1020,2023-05-01,7440.0,62,Growth,active
CUST-1021,2023-05-01,750.0,15,Starter,active
CUST-1022,2023-05-01,8040.0,67,Growth,active
CUST-1023,2023-05-01,650.0,13,Starter,active
CUST-1024,2023-05-01,350.0,7,Starter,active
CUST-1025,2023-05-01,300.0,6,Starter,active
CUST-1026,2023-05-01,5280.0,44,Growth,active
CUST-1027,2023-05-01,750.0,15,Starter,active
CUST-1028,2023-05-01,960.0,8,Growth,active
CUST-1029,2023-05-01,250.0,5,Starter,active
CUST-1030,2023-05-01,600.0,12,Starter,active
CUST-1031,2023-05-01,1800.0,15,Growth,active
CUST-1032,2023-05-01,720.0,6,Growth,active
CUST-1033,2023-05-01,480.0,4,Growth,active
