signup_cohort,acquisition_channel,months_since_signup,retention_pct,n_customers
2023-01,Inbound Marketing,0,1.0,8
2023-02,Inbound Marketing,0,1.0,4
2023-03,Inbound Marketing,0,1.0,7
2023-04,Inbound Marketing,0,1.0,5
2023-05,Inbound Marketing,0,1.0,5
2023-06,Inbound Marketing,0,1.0,8
2023-07,Inbound Marketing,0,1.0,8
2023-08,Inbound Marketing,0,1.0,6
2023-09,Inbound Marketing,0,1.0,5
2023-10,Inbound Marketing,0,1.0,4
2023-11,Inbound Marketing,0,1.0,7
2023-12,Inbound Marketing,0,1.0,10
2024-01,Inbound Marketing,0,1.0,6
2024-02,Inbound Marketing,0,1.0,4
2024-03,Inbound Marketing,0,1.0,7
2024-04,Inbound Marketing,0,1.0,3
2024-05,Inbound Marketing,0,1.0,4
2024-06,Inbound Marketing,0,1.0,6
2024-07,Inbound Marketing,0,1.0,11
2024-08,Inbound Marketing,0,1.0,3
2024-09,Inbound Marketing,0,1.0,4
2024-10,Inbound Marketing,0,1.0,6
2024-11,Inbound Marketing,0,1.0,9
2024-12,Inbound Marketing,0,1.0,5
2025-01,Inbound Marketing,0,1.0,5
2025-02,Inbound Marketing,0,1.0,1
2025-03,Inbound Marketing,0,1.0,8
2025-04,Inbound Marketing,0,1.0,8
2025-05,Inbound Marketing,0,1.0,4
2025-06,Inbound Marketing,0,1.0,3
2025-07,Inbound Marketing,0,1.0,4
2025-08,Inbound Marketing,0,1.0,4
2025-09,Inbound Marketing,0,1.0,5
2025-10,Inbound Marketing,0,1.0,7
2025-11,Inbound Marketing,0,1.0,7
2025-12,Inbound Marketing,0,1.0,6
2023-01,Inbound Marketing,1,1.0,8
2023-02,Inbound Marketing,1,1.0,4
2023-03,Inbound Marketing,1,1.0,7
2023-04,Inbound Marketing,1,1.0,5
2023-05,Inbound Marketing,1,1.0,5
2023-06,Inbound Marketing,1,1.0,8
2023-07,Inbound Marketing,1,1.0,8
2023-08,Inbound Marketing,1,0.8333333333333334,6
2023-09,Inbound Marketing,1,1.0,5
2023-10,Inbound Marketing,1,1.0,4
2023-11,Inbound Marketing,1,1.0,7
2023-12,Inbound Marketing,1,1.0,10
2024-01,Inbound Marketing,1,1.0,6
2024-02,Inbound Marketing,1,1.0,4
2024-03,Inbound Marketing,1,1.0,7
2024-04,Inbound Marketing,1,1.0,3
2024-05,Inbound Marketing,1,1.0,4
2024-06,Inbound Marketing,1,1.0,6
2024-07,Inbound Marketing,1,1.0,11
2024-08,Inbound Marketing,1,1.0,3
2024-09,Inbound Marketing,1,1.0,4
2024-10,Inbound Marketing,1,1.0,6
2024-11,Inbound Marketing,1,1.0,9
