quarter,forecast_category,forecasted_amount,actual_amount,accuracy_pct
2024Q1,Commit,3122093.0,2952840.0,0.9457886103969356
2024Q1,Best Case,2526834.0,597000.0,0.23626403633954585
2024Q1,Pipeline,4843302.0,1339440.0,0.2765551270600099
2024Q2,Commit,3521380.0,3197760.0,0.9080985295537545
2024Q2,Best Case,6372648.0,2759160.0,0.4329691519129881
2024Q2,Pipeline,5292818.0,225960.0,0.04269181369924301
2024Q3,Commit,2195054.0,1616400.0,0.7363827951385251
2024Q3,Best Case,4428114.0,1037520.0,0.23430291090066788
2024Q3,Pipeline,6167024.0,930720.0,0.1509188224336406
2024Q4,Commit,3019933.0,2551920.0,0.8450253697681372
2024Q4,Best Case,5040963.0,1598880.0,0.31717749168164894
2024Q4,Pipeline,4727605.0,207720.0,0.04393768091877388
2025Q1,Commit,5218703.0,4361400.0,0.8357248917978279
2025Q1,Best Case,5367048.0,1262280.0,0.23519074172617796
2025Q1,Pipeline,5580266.0,31320.0,0.005612635670055872
2025Q2,Commit,7119882.0,3609960.0,0.5070252568792573
2025Q2,Best Case,7503090.0,3327240.0,0.4434492988888578
2025Q2,Pipeline,6891530.0,761040.0,0.11043121048591532
2025Q3,Commit,12505351.0,3876720.0,0.31000489310535945
2025Q3,Best Case,7566417.0,2780040.0,0.3674182905858876
2025Q3,Pipeline,5245029.0,283320.0,0.05401686053594747
2025Q4,Commit,16523814.0,3748320.0,0.22684351203662786
2025Q4,Best Case,7883076.0,2335080.0,0.29621432039980333
2025Q4,Pipeline,5623615.0,261720.0,0.04653945904902807
